symbol	group	signature	backing	abi_owner	status
forapollo_version	library	() -> u32	fortran:fa_version	zig-export	ok
forapollo_kf_predict	estimate	(i32 n, f64* x, f64* P, f64* F, f64* Q, i32* info) -> void	fortran:fa_kf_predict	zig-export	ok
forapollo_kf_update	estimate	(i32 n, i32 m, f64* x, f64* P, f64* z, f64* H, f64* R, i32* validity, i32* info) -> void	fortran:fa_kf_update	zig-export	ok
forapollo_ekf_predict	estimate	(i32 n, f64* x, f64* P, ptr f_ptr, ptr df_ptr, f64* Q, f64 dt, i32 model_id, f64* params, i32 np, i32 n_steps, i32* info) -> void	fortran:fa_ekf_predict	zig-export	ok
forapollo_ekf_update	estimate	(i32 n, i32 m, f64* x, f64* P, f64* z, ptr h_ptr, ptr dh_ptr, i32 obs_id, f64* R, f64* obs_params, i32 nop, i32* validity, i32* info) -> void	fortran:fa_ekf_update	zig-export	ok
forapollo_iekf_update	estimate	(i32 n, i32 m, f64* x, f64* P, f64* z, ptr h_ptr, ptr dh_ptr, i32 obs_id, f64* R, f64* obs_params, i32 nop, i32 max_iter, f64 tol, i32* validity, i32* info) -> void	fortran:fa_iekf_update	zig-export	ok
forapollo_ukf_predict	estimate	(i32 n, f64* x, f64* P, ptr f_ptr, i32 model_id, f64* params, i32 np, f64* Q, f64 dt, f64 alpha, f64 beta, f64 kappa, i32* info) -> void	fortran:fa_ukf_predict	zig-export	ok
forapollo_ukf_update	estimate	(i32 n, i32 m, f64* x, f64* P, f64* z, ptr h_ptr, i32 obs_id, f64* R, f64* obs_params, i32 nop, f64 alpha, f64 beta, f64 kappa, i32* validity, i32* info) -> void	fortran:fa_ukf_update	zig-export	ok
forapollo_eskf_predict	estimate	(i32 n, f64* x_nom, f64* dx, f64* P, ptr f_ptr, i32 model_id, f64* params, i32 np, f64* Q, f64 dt, i32 n_steps, i32* info) -> void	fortran:fa_eskf_predict	zig-export	ok
forapollo_eskf_update	estimate	(i32 n, i32 m, f64* x_nom, f64* dx, f64* P, f64* z, ptr h_ptr, ptr dh_ptr, i32 obs_id, f64* R, f64* obs_params, i32 nop, i32* validity, i32* info) -> void	fortran:fa_eskf_update	zig-export	ok
forapollo_eskf_inject	estimate	(i32 n, f64* x_nom, f64* dx, f64* P, i32* info) -> void	fortran:fa_eskf_inject	zig-export	ok
forapollo_srekf_predict	estimate	(i32 n, f64* x, f64* S, ptr f_ptr, ptr df_ptr, i32 model_id, f64* params, i32 np, f64* Sq, f64 dt, i32 n_steps, i32* info) -> void	fortran:fa_srekf_predict	zig-export	ok
forapollo_srekf_update	estimate	(i32 n, i32 m, f64* x, f64* S, f64* z, ptr h_ptr, ptr dh_ptr, i32 obs_id, f64* R, f64* obs_params, i32 nop, i32* validity, i32* info) -> void	fortran:fa_srekf_update	zig-export	ok
forapollo_srukf_predict	estimate	(i32 n, f64* x, f64* S, ptr f_ptr, i32 model_id, f64* params, i32 np, f64* Sq, f64 dt, f64 alpha, f64 beta, f64 kappa, i32* info) -> void	fortran:fa_srukf_predict	zig-export	ok
forapollo_srukf_update	estimate	(i32 n, i32 m, f64* x, f64* S, f64* z, ptr h_ptr, i32 obs_id, f64* R, f64* obs_params, i32 nop, f64 alpha, f64 beta, f64 kappa, i32* validity, i32* info) -> void	fortran:fa_srukf_update	zig-export	ok
forapollo_if_predict	estimate	(i32 n, f64* eta, f64* Y, f64* F, f64* Q, i32* info) -> void	fortran:fa_if_predict	zig-export	ok
forapollo_if_update	estimate	(i32 n, i32 m, f64* eta, f64* Y, f64* z, f64* H, f64* R, i32* validity, i32* info) -> void	fortran:fa_if_update	zig-export	ok
forapollo_pf_sir_predict	estimate	(i32 n, i32 np_particles, f64* particles, f64* weights, ptr f_ptr, i32 model_id, f64* params, i32 np, f64* Q, f64 dt, i32 n_steps, i32* seed, i32* info) -> void	fortran:fa_pf_sir_predict	zig-export	ok
forapollo_pf_sir_update	estimate	(i32 n, i32 m, i32 np_particles, f64* particles, f64* weights, f64* z, ptr h_ptr, i32 obs_id, f64* R, f64* obs_params, i32 nop, i32* info) -> void	fortran:fa_pf_sir_update	zig-export	ok
forapollo_pf_sir_resample	estimate	(i32 n, i32 np_particles, f64* particles, f64* weights, i32* seed, i32* info) -> void	fortran:fa_pf_sir_resample	zig-export	ok
forapollo_pf_rb_update	estimate	(i32 n, i32 m, i32 np_particles, i32 n_linear, f64* particles, f64* weights, f64* z, ptr h_ptr, i32 obs_id, f64* R, f64* obs_params, i32 nop, i32* info) -> void	fortran:fa_pf_rb_update	zig-export	ok
